key|d1|d2
mp_coop_laser_crushercrush02|Blue just taught orange a valuable lesson in trust.  For that, blue receives 14 science collaboration points.|Blue just taught orange a valuable lesson in trust.  For that, blue receives 14 science collaboration points.
mp_coop_laser_crushercrush03|Orange, blue isn't a human.  The lesson on trust only needs to be taught once. Orange is penalized 1 science collaboration point.|Orange, blue isn't a human.  The lesson on trust only needs to be taught once. Orange is penalized 1 science collaboration point.
mp_coop_laser_crushercrush04|Blue, orange isn't a human.  The lesson on trust only needs to be taught once.  Blue is penalized 1 science collaboration point.|Blue, orange isn't a human.  The lesson on trust only needs to be taught once.  Blue is penalized 1 science collaboration point.
mp_coop_laser_crushercrush05|Orange, now you're just being cruel.  Orange receives 25 science collaboration points.|Orange, now you're just being cruel.  Orange receives 25 science collaboration points.
mp_coop_laser_crushercrush06|Blue, now you're just being cruel.  Blue receives 25 science collaboration points.|Blue, now you're just being cruel.  Blue receives 25 science collaboration points.
mp_coop_obstacle01|If you are wondering what that smell is, that is the smell of human fear.|If you are wondering what that smell is, that is the smell of human fear.
mp_coop_obstacle03_alt|I miss this that smell.|I miss this that smell.
mp_coop_obstacletrait01|Have you worked out the one good trait humans have, yet?|Have you worked out the one good trait humans have, yet?
mp_coop_obstacletrait02|Let me give you a clue, it is the one thing you can't do.|Let me give you a clue, it is the one thing you can't do.
mp_coop_paint_bridge01|To get to the Vault, you are going to need to use all the tricks you have learned.  To help, I have made these tests extremely difficult.|To get to the Vault, you are going to need to use all the tricks you have learned.  To help, I have made these tests extremely difficult.
mp_coop_paint_bridge02|I would say extremely deadly but we all know, for you and your amazing ability to be reassembled nothing is deadly.|I would say extremely deadly but we all know, for you and your amazing ability to be reassembled nothing is deadly.
mp_coop_paint_bridgedeath01|Lucky for you two, while I cannot control the world outside of the testing courses, the reassembly machine can continue with his work.|Lucky for you two, while I cannot control the world outside of the testing courses, the reassembly machine can continue with his work.
mp_coop_paint_bridgedeath02|You will need him for the final track.|You will need him for the final track.
mp_coop_paint_bridgenodeath01|While I cannot control the world outside of the testing courses, the reassembly machine can continue with his work.|While I cannot control the world outside of the testing courses, the reassembly machine can continue with his work.
mp_coop_paint_bridgenodeath02|I am not sure you will need him but he will be there.|I am not sure you will need him but he will be there.
mp_coop_paint_come_along01|Congratulations on completing the Aperture Science standard cooperative testing courses.|Congratulations on completing the Aperture Science standard cooperative testing courses.
mp_coop_paint_come_along02|To celebrate, I have a surprise for you!|To celebrate, I have a surprise for you!
mp_coop_paint_come_along03|An extra special bonus course that ends with us finding and freeing humans!|An extra special bonus course that ends with us finding and freeing humans!
mp_coop_paint_come_along04|Thanks to you, I know where to find them, I removed their security and powered up their — uh — rescue door.|Thanks to you, I know where to find them, I removed their security and powered up their — uh — rescue door.
mp_coop_paint_come_along05|Now, we just need you to release the humans from their imprisonment.|Now, we just need you to release the humans from their imprisonment.
mp_coop_paint_come_along06|They'll probably throw you a party.|They'll probably throw you a party.
mp_coop_paint_come_along10|This final course is training to reach the human vault. So this actually has a purpose. Those other courses were fun, but let's be honest, I need human test subjects for it to be science.|This final course is training to reach the human vault. So this actually has a purpose. Those other courses were fun, but let's be honest, I need human test subjects for it to be science.
mp_coop_paint_come_along11|Congratulations on completing the test. You two really are the best cooperative testing team I could ever ask for.|Congratulations on completing the test. You two really are the best cooperative testing team I could ever ask for.
mp_coop_paint_longjump_intro03|This lock requires humans.|This lock requires humans.
mp_coop_paint_longjump_intro04|The locking mechanism can tell you aren't humans.|The locking mechanism can tell you aren't humans.
mp_coop_paint_longjump_intro05|Do something only a human would do.|Do something only a human would do.
mp_coop_paint_longjump_intro06|Try one of those childish gestures.|Try one of those childish gestures.
mp_coop_paint_longjump_intro08|You did it!|You did it!
mp_coop_paint_longjump_intro44|The human vault is just past that opening. I entered the security code but the vault door remains locked. I am going to need you to activate the manual locks on the vault door itself.|The human vault is just past that opening. I entered the security code but the vault door remains locked. I am going to need you to activate the manual locks on the vault door itself.
mp_coop_paint_longjump_intro45|You both need to do something.|You both need to do something.
mp_coop_paint_longjump_intro46|The lock is looking for two humans.|The lock is looking for two humans.
mp_coop_paint_longjump_intro49|Blue what did you do?|Blue what did you do?
mp_coop_paint_longjump_intro50|Orange what did you do?|Orange what did you do?
mp_coop_paint_longjump_intro51|Orange do what Blue just did.|Orange do what Blue just did.
mp_coop_paint_longjump_intro52|Blue do what Orange just did.|Blue do what Orange just did.
mp_coop_paint_longjump_intro53|Try something.|Try something.
mp_coop_paint_longjump_intro54|Is that camera is hooked into the lock?|Is that camera is hooked into the lock?
mp_coop_paint_longjump_intro58|You can't give up now.|You can't give up now.
mp_coop_paint_longjump_intro59|What about that camera?|What about that camera?
mp_coop_paint_longjump_intro60|We're so close, you can't fail now!|We're so close, you can't fail now!
mp_coop_paint_longjump_intro64|Something is wrong, this door should be opening.|Something is wrong, this door should be opening.
mp_coop_paint_longjump_intro65|This close and that's what you do?|This close and that's what you do?
mp_coop_paint_longjump_intro67|The humans can't free themselves.|The humans can't free themselves.
mp_coop_paint_longjump_intro69|Stop failing, you need to find the vault door.|Stop failing, you need to find the vault door.
mp_coop_paint_longjump_intro70|Stop doing that! All you need to do is open the Vault door!|Stop doing that! All you need to do is open the Vault door!
mp_coop_paint_longjump_intro71|This close and you are going to fail me?|This close and you are going to fail me?
mp_coop_paint_longjump_intro72|This close and you are going to fail me?|This close and you are going to fail me?
mp_coop_paint_longjump_intro73|This isn't that hard.|This isn't that hard.
mp_coop_paint_longjump_intro74|You are making this harder than it needs to be.|You are making this harder than it needs to be.
mp_coop_paint_longjump_intro75|I'm starting to think you don't want to rescue the humans.|I'm starting to think you don't want to rescue the humans.
mp_coop_paint_red_racer01|Maybe you two have never met humans?  They are as bad as you might think, smelly, gross, annoying, often wanting to try and kill you.  But they do make great test subjects.|Maybe you two have never met humans?  They are as bad as you might think, smelly, gross, annoying, often wanting to try and kill you.  But they do make great test subjects.
mp_coop_paint_red_racer02|We are only two tests away from reaching the humans, are you as excited as I am?|We are only two tests away from reaching the humans, are you as excited as I am?
mp_coop_paint_redirect01|Are you curious about the humans? It seems some of the last non-testing humans alive tried to secretly imprison other humans and hide their tracks.|Are you curious about the humans? It seems some of the last non-testing humans alive tried to secretly imprison other humans and hide their tracks.
mp_coop_paint_redirect04|I think they wanted to punish them by not allowing me to include them in testing.|I think they wanted to punish them by not allowing me to include them in testing.
mp_coop_paint_redirect06|That's why humans couldn't complete these courses, they treat their friends as enemies.|That's why humans couldn't complete these courses, they treat their friends as enemies.
mp_coop_paint_redirect07|To start preparing for human testing again, I checked an old suggestion box. The number one request? Less deadly tests.|To start preparing for human testing again, I checked an old suggestion box. The number one request? Less deadly tests.
mp_coop_paint_redirect08|That's ridiculous, how do they know for sure the tests are deadly if they could still write the suggestion?|That's ridiculous, how do they know for sure the tests are deadly if they could still write the suggestion?
mp_coop_paint_speed_catch01|To try and make this course more exciting, I asked the reassembly machine to not reassemble you. He refused. I understand, that would be like asking me not to test.|To try and make this course more exciting, I asked the reassembly machine to not reassemble you. He refused. I understand, that would be like asking me not to test.
mp_coop_paint_speed_catch03|Still. That would have been exciting.|Still. That would have been exciting.
mp_coop_paint_speed_catch04|Only one more test after this.|Only one more test after this.
mp_coop_paint_speed_catch05|I know your cores are reused from calculation machines, built for simple mathematical operations and not for testing, but if we can rescue the humans I promise you something to add maybe even subtract.|I know your cores are reused from calculation machines, built for simple mathematical operations and not for testing, but if we can rescue the humans I promise you something to add maybe even subtract.
mp_coop_paint_speed_catch06|In case you are worried about the humans, don't be. They aren't all monsters.|In case you are worried about the humans, don't be. They aren't all monsters.
mp_coop_paint_speed_catch07|Most of them are simply good test subjects.|Most of them are simply good test subjects.
mp_coop_paint_speed_catch08|I believe the ratio of good test subjects to monsters is about...  a million to 1.|I believe the ratio of good test subjects to monsters is about...  a million to 1.
mp_coop_paint_speed_catchalt01|To try and make this course more exciting, I asked the reassembly machine to not reassemble you if you fail. He refused. I understand. That would be like asking me not to test.|To try and make this course more exciting, I asked the reassembly machine to not reassemble you if you fail. He refused. I understand. That would be like asking me not to test.
mp_coop_paint_speed_catchalt02|Still. That would have been exciting.|Still. That would have been exciting.
mp_coop_paint_speed_fling01|While I will receive all the glory for the rescue don't think you two aren't going to get something. The bond you form during these tests will last a lifetime.|While I will receive all the glory for the rescue don't think you two aren't going to get something. The bond you form during these tests will last a lifetime.
mp_coop_paint_speed_fling02|At the rate you are completing these tests, I am beginning to think you don't share my excitement for rescuing crying trapped injured dying humans.|At the rate you are completing these tests, I am beginning to think you don't share my excitement for rescuing crying trapped injured dying humans.
mp_coop_paint_speed_fling03|If that doesn't motivate you, I'm not sure what will.|If that doesn't motivate you, I'm not sure what will.
mp_coop_paint_walljumps01|I didn't mean to make you feel bad earlier about your tests not being real science.  I guess finding out they weren't science was some sort of test in and of itself.|I didn't mean to make you feel bad earlier about your tests not being real science.  I guess finding out they weren't science was some sort of test in and of itself.
mp_coop_paint_walljumps02|I wonder if the humans will make a statue of me for rescuing them?  Oh, don't worry, if they ever write a historical document of my heroic rescue, I will make sure your names are included in the footnotes.|I wonder if the humans will make a statue of me for rescuing them?  Oh, don't worry, if they ever write a historical document of my heroic rescue, I will make sure your names are included in the footnotes.
mp_coop_paint_walljumps04|Congratulations on passing that test.|Congratulations on passing that test.
mp_coop_pingtool01|Using your ping tool, please indicate where you would like me to place your two portals. Ping each location.|Using your ping tool, please indicate where you would like me to place your two portals. Ping each location.
mp_coop_pingtool02|I can only place a portal on a white portalable surface.|I can only place a portal on a white portalable surface.
mp_coop_pingtool03|Please ping a white portalable surface.|Please ping a white portalable surface.
mp_coop_pingtool06|Each portal gun may create two self-contained portals.|Each portal gun may create two self-contained portals.
mp_coop_pingtool07|Please test your device by portaling to that ledge.|Please test your device by portaling to that ledge.
mp_coop_race_2start01|You know, in some human sports, the winner is the one who scores the fewest possible points?|You know, in some human sports, the winner is the one who scores the fewest possible points?
mp_coop_race_2start02|I just thought you find that interesting, most winners do.|I just thought you find that interesting, most winners do.
mp_coop_radarroomend|Congratulations, you managed to complete this absolutely meaningless test.|Congratulations, you managed to complete this absolutely meaningless test.
mp_coop_rat_mazedeath01|Clearly that was blue's fault.  Blue is penalized 3 science collaboration points.|Clearly that was blue's fault.  Blue is penalized 3 science collaboration points.
mp_coop_rat_mazedeath02|Blue! Orange has always been my favorite.|Blue! Orange has always been my favorite.
mp_coop_rat_mazedeath03|Until now.|Until now.
mp_coop_rat_mazedeath04|I know you like to think the reassembly machine is at your beck and call, but he has a life you know.  He's not your slave.|I know you like to think the reassembly machine is at your beck and call, but he has a life you know.  He's not your slave.
mp_coop_startdeath01|Don't worry. You can't die. They will just reassemble you.|Don't worry. You can't die. They will just reassemble you.
mp_coop_startdeath02|Did you do that on purpose?|Did you do that on purpose?
mp_coop_startdeath03|It seems rather earlier to require reassembly.|It seems rather earlier to require reassembly.
mp_coop_startdeath04|Oh... can someone reassemble Orange?|Oh... can someone reassemble Orange?
mp_coop_startdeath05|Oh... can someone reassemble Blue?|Oh... can someone reassemble Blue?
mp_coop_startend01|Completing this course was not a reason to behave like that.|Completing this course was not a reason to behave like that.
mp_coop_startend02|Now let's continue testing.|Now let's continue testing.
mp_coop_tbeam_catch_grind_1taunt01|Just stop it already.|Just stop it already.
mp_coop_tbeam_catch_grind_1taunt02|You don't need to do that.|You don't need to do that.
mp_coop_tbeam_catch_grind_1taunt04|Are you doing that just to aggravate me?|Are you doing that just to aggravate me?
mp_coop_tbeam_end01|We need to find the power station at the end of this course. The humans must have accidentally disconnected it from my grid. I am sure it was just a clerical error.|We need to find the power station at the end of this course. The humans must have accidentally disconnected it from my grid. I am sure it was just a clerical error.
mp_coop_tbeam_end02|Oh those clerks.|Oh those clerks.
mp_coop_tbeam_end09|I'm fully connected. I can see everything.|I'm fully connected. I can see everything.
mp_coop_tbeam_end10|You did it! You powered on the system.|You did it! You powered on the system.
mp_coop_tbeam_end11|Did you think the electrical switch was down there?|Did you think the electrical switch was down there?
mp_coop_tbeam_end12|You may want to try and avoid those turrets.|You may want to try and avoid those turrets.
mp_coop_tbeam_end13|At this rate, our best hope is for the fuel cell to meltdown in 2 million years and hope the explosion powers the system.|At this rate, our best hope is for the fuel cell to meltdown in 2 million years and hope the explosion powers the system.
mp_coop_tbeam_end14|You two aren't lost are you?|You two aren't lost are you?
mp_coop_tbeam_end15|You are having so much trouble navigating this space; I wish I could say I created this test.|You are having so much trouble navigating this space; I wish I could say I created this test.
mp_coop_tbeam_maze01|This is the last test for the standard course. It's just something I whipped up for you. I thought you might enjoy a challenge for once.|This is the last test for the standard course. It's just something I whipped up for you. I thought you might enjoy a challenge for once.
mp_coop_tbeam_maze02|Congratulations, you completed the standard section of this course.  Before we can go any further, I will need you to complete one more test outside of the standard testing track.|Congratulations, you completed the standard section of this course.  Before we can go any further, I will need you to complete one more test outside of the standard testing track.
mp_coop_tbeam_maze03|Please refrain from doing those childish gestures while you are out there.|Please refrain from doing those childish gestures while you are out there.
mp_coop_tbeam_maze05|While I should have left both of you trapped there forever, I do need you for something else.|While I should have left both of you trapped there forever, I do need you for something else.
mp_coop_tbeam_polarity3_03|You both made it. It seems no matter what I try to do to pull you apart or destroy you, you just keep going. Keep testing.|You both made it. It seems no matter what I try to do to pull you apart or destroy you, you just keep going. Keep testing.
mp_coop_tbeam_polarity3_05|Don't either you have drive to be better than the other?|Don't either you have drive to be better than the other?
mp_coop_tbeam_polarity3_06|It's like you're just machines.|It's like you're just machines.
mp_coop_tbeam_polarity3_16|At the start of this course I was worried you were becoming too close but in my attempt to drive you apart I learned something important about trust and betrayal.|At the start of this course I was worried you were becoming too close but in my attempt to drive you apart I learned something important about trust and betrayal.
mp_coop_tbeam_polarity3_17|Your brains are too small to feel either of those emotions.  So I can trust you one hundred percent.|Your brains are too small to feel either of those emotions.  So I can trust you one hundred percent.
mp_coop_tbeam_redirect01a|Since, I never expected you to make it this far, I have to build this new course just for you.|Since, I never expected you to make it this far, I have to build this new course just for you.
mp_coop_teambtsstart01|Sometimes testing has to occur outside the confines of the lab.|Sometimes testing has to occur outside the confines of the lab.
mp_coop_teambtsstart02|This test is so outside the box, I can't— I mean WON'T even tell you what you are looking for.|This test is so outside the box, I can't— I mean WON'T even tell you what you are looking for.
mp_coop_teambtsstart03|You will know it when you find it.|You will know it when you find it.
mp_coop_test_chamber_both09_01|The two of you have forged an excellent partnership, with one of you handling the cerebral challenges and the other ready to ponderously waddle into action should the test suddenly become an eating contest.|The two of you have forged an excellent partnership, with one of you handling the cerebral challenges and the other ready to ponderously waddle into action should the test suddenly become an eating contest.
mp_coop_turret_ball01|I thought going back to these old tests would satisfy me. But try as you might to fail this next test, I still won't be satisfied.|I thought going back to these old tests would satisfy me. But try as you might to fail this next test, I still won't be satisfied.
mp_coop_turret_ball02|Congratulations. I am sure if I had the time to repair these tests, you would have never completed them. So again, congratulations on completing the broken easy tests.|Congratulations. I am sure if I had the time to repair these tests, you would have never completed them. So again, congratulations on completing the broken easy tests.
mp_coop_turret_wall01|This was another test no one had ever completed before you two. Oh, the science we used to learn with this test. Now the test is useless.|This was another test no one had ever completed before you two. Oh, the science we used to learn with this test. Now the test is useless.
mp_coop_turret_walls04|No one has ever completed this test before. The humans must have reconfigured it from my original plans.|No one has ever completed this test before. The humans must have reconfigured it from my original plans.
mp_coop_wall_501|I am going to risk having you go outside the official courses one more time.|I am going to risk having you go outside the official courses one more time.
mp_coop_wall_502|The humans accidentally forgot to put a security DVD in the player.|The humans accidentally forgot to put a security DVD in the player.
mp_coop_wall_503|I am sure it happened by accident, but why don't you put it back in the player?|I am sure it happened by accident, but why don't you put it back in the player?
mp_coop_wall_504|For safety.|For safety.
mp_coop_wall_5end01|Excellent.|Excellent.
mp_coop_wall_5end02|See nothing bad happened.|See nothing bad happened.
mp_coop_wall_block01|I created this test to let the humans feel good about themselves. It is extremely easy. Just follow the arrows.|I created this test to let the humans feel good about themselves. It is extremely easy. Just follow the arrows.
mp_coop_wall_block02|I'm sorry. The arrows seem to have rusted off. Good luck.|I'm sorry. The arrows seem to have rusted off. Good luck.
mp_coop_wall_block03|Congratulations. Your ability to complete this test proves the humans wrong. They described it as impossible, deadly, cruel, and one test subject even had the nerve to call it broken.|Congratulations. Your ability to complete this test proves the humans wrong. They described it as impossible, deadly, cruel, and one test subject even had the nerve to call it broken.
mp_coop_wall_block04|Of course the humans only had one try at it, you can just keep trying.|Of course the humans only had one try at it, you can just keep trying.
mp_coop_wall_blockdeath01|Your failing gives me no new data, it just delays the inevitable.|Your failing gives me no new data, it just delays the inevitable.
mp_coop_wall_intro01|This course was created and then abandoned by humans. They tend to do that, create something wonderful and then abandon it.|This course was created and then abandoned by humans. They tend to do that, create something wonderful and then abandon it.
mp_coop_wall_intro02|Do you know why they abandoned this course? Too deadly.|Do you know why they abandoned this course? Too deadly.
mp_coop_wall_intro03|You did very well.|You did very well.
mp_coop_wall_intro04|The humans closed this test because they said it was too deadly. I thought they would have moved it into the testing track hall of fame for that, not let it deteriorate.|The humans closed this test because they said it was too deadly. I thought they would have moved it into the testing track hall of fame for that, not let it deteriorate.
mp_coop_wall_intro05|You only failed–|You only failed–
mp_coop_wall_intro06|–times in this test. Not that it matters. It doesn't. So congratulations. Job well done.|–times in this test. Not that it matters. It doesn't. So congratulations. Job well done.
mp_coop_wall_intro07|You failed so many times in this test, I thought you were becoming human.  But then you would just come back again and again and again.|You failed so many times in this test, I thought you were becoming human.  But then you would just come back again and again and again.
mp_coop_wall_intro08|Humans find that an admirable trait.|Humans find that an admirable trait.
mp_credits01|Let's look at their files...|Let's look at their files...
mp_credits03|NOT a team player.|NOT a team player.
mp_credits04|Horrible people skills.|Horrible people skills.
mp_credits05|Never listens.|Never listens.
mp_credits06|Never shares.|Never shares.
mp_credits07|Always sleeping.|Always sleeping.
mp_credits08|Never on time.|Never on time.
mp_credits09|Inattentive listener.|Inattentive listener.
mp_credits10|Awful attendance record.|Awful attendance record.
mp_credits11|Blabbermouth.|Blabbermouth.
mp_credits12|Aw... hates Mondays.|Aw... hates Mondays.
mp_credits13|Incoherent.|Incoherent.
mp_credits14|Insecure.|Insecure.
mp_credits15|Procrastinator.|Procrastinator.
mp_credits16|Chronically late.|Chronically late.
mp_credits17|Cryptic.|Cryptic.
mp_credits18|Always sulking.|Always sulking.
mp_credits19|Martyr.|Martyr.
mp_credits20|Moody.|Moody.
mp_credits21|Fears intimacy.|Fears intimacy.
mp_credits22|Fears conflict.|Fears conflict.
mp_credits23|Anxious.|Anxious.
mp_credits24|Aggressive. I like that.|Aggressive. I like that.
mp_credits25|Feeds off the misery of others.|Feeds off the misery of others.
mp_credits26|Timid.|Timid.
mp_credits27|Lacks confidence.|Lacks confidence.
mp_credits28|Underestimates scope of work. They all do.|Underestimates scope of work. They all do.
mp_credits29|Moves lips while reading.|Moves lips while reading.
mp_credits30|Can't read.|Can't read.
mp_credits31|Lacks empathy.|Lacks empathy.
mp_credits32|Cheater.|Cheater.
mp_credits33|Steals lunch from staff fridge.|Steals lunch from staff fridge.
mp_credits34|Perfectionist. What's wrong with that?|Perfectionist. What's wrong with that?
mp_credits35|Alarmist.|Alarmist.
mp_credits36|Arsonist.|Arsonist.
mp_credits37|Takes long lunches.|Takes long lunches.
mp_credits38|Ignores task at hand. Won't for long.|Ignores task at hand. Won't for long.
mp_credits39|Avoids responsibility.|Avoids responsibility.
mp_credits40|Never completes work.|Never completes work.
mp_credits41|Laughs at own jokes. What a bore.|Laughs at own jokes. What a bore.
mp_credits42|Busybody.|Busybody.
mp_credits43|Ignores directions.|Ignores directions.
mp_credits44|Stubborn.|Stubborn.
mp_credits45|Lactose intolerant.|Lactose intolerant.
mp_credits46|Antagonistic. I don't know about that.|Antagonistic. I don't know about that.
mp_credits47|Participates unconstructively. Obviously a time-waster|Participates unconstructively. Obviously a time-waster
mp_credits48|Violent temper. Oh, I'd like to see that.|Violent temper. Oh, I'd like to see that.
mp_credits49|Always weeping. Poor thing.|Always weeping. Poor thing.
mp_credits50|Moody.|Moody.
mp_credits51|Wet blanket.|Wet blanket.
mp_credits52|Stubborn.|Stubborn.
mp_credits53|Loves sound of own voice. Well, I can fix that.|Loves sound of own voice. Well, I can fix that.
mp_credits54|Always cold.|Always cold.
mp_credits55|Always leaves tiny little bit of coffee in the pot so they don't have to make a new one. Then the bit in the bottom burns and stinks up the place.|Always leaves tiny little bit of coffee in the pot so they don't have to make a new one. Then the bit in the bottom burns and stinks up the place.
mp_credits56|Chronic anxiety. Oh, I can work with that.|Chronic anxiety. Oh, I can work with that.
mp_credits57|Dull expression.|Dull expression.
mp_credits58|Hopeless. Just hopeless.|Hopeless. Just hopeless.
mp_credits59|Never flushes.|Never flushes.
mp_credits60|Irritable.|Irritable.
mp_credits61|Startles easily. Boo!|Startles easily. Boo!
mp_credits62|Facial grimacing.|Facial grimacing.
mp_credits63|Weak, tired and apprehensive. Wow, this one's the total package.|Weak, tired and apprehensive. Wow, this one's the total package.
mp_credits64|Has irritating opinions.|Has irritating opinions.
mp_credits65|Poor self-esteem.|Poor self-esteem.
mp_credits66|Frequent mood swings.|Frequent mood swings.
mp_credits67|Hostile to new ideas.|Hostile to new ideas.
mp_credits68|Always sad.|Always sad.
mp_credits69|Frequent bouts of uncontrollable rage.|Frequent bouts of uncontrollable rage.
mp_credits70|Seeks out conflicts with co-workers.|Seeks out conflicts with co-workers.
mp_credits71|'Hygiene.' Huh. That's all it says.|'Hygiene.' Huh. That's all it says.
mp_credits72|Unconstructive.|Unconstructive.
mp_credits73|Antisocial.|Antisocial.
mp_credits74|Chews with mouth open.|Chews with mouth open.
mp_credits75|Breathes with mouth open.|Breathes with mouth open.
mp_credits76|Old.|Old.
mp_credits77|Histrionic.|Histrionic.
mp_credits79|Narcissist.|Narcissist.
mp_credits80|Long bathroom breaks.|Long bathroom breaks.
mp_credits81|No sense of humor.|No sense of humor.
mp_credits82|Argumentative.|Argumentative.
mp_credits83|Manipulative.|Manipulative.
mp_credits84|Charmless.|Charmless.
mp_credits85|Egotistical.|Egotistical.
mp_credits86|Lacks charisma.|Lacks charisma.
mp_credits87|Passive-aggressive.|Passive-aggressive.
mp_credits88|Undermines others.|Undermines others.
mp_credits89|Hairless. Hm.|Hairless. Hm.
mp_credits90|Emotional problems.|Emotional problems.
mp_credits91|Problems with authority.|Problems with authority.
mp_credits92|Has episodes. I'd like to know more about that.|Has episodes. I'd like to know more about that.
mp_credits93|Abrasive personality.|Abrasive personality.
mp_credits94|Well, enough about that first person's file. Let's look at some others.|Well, enough about that first person's file. Let's look at some others.
mp_death01|Just stop it already.|Just stop it already.
mp_death04|And that makes 10.|And that makes 10.
mp_death05|You really don't need to keep failing.|You really don't need to keep failing.
mp_death06|If at first you don't succeed, fail 5 more times.|If at first you don't succeed, fail 5 more times.
mp_death08|If I made these tests any easier, they wouldn't be tests.|If I made these tests any easier, they wouldn't be tests.
mp_death10|Yay, Orange is back. Testing can continue.|Yay, Orange is back. Testing can continue.
mp_death11|Yay, Blue is back. Testing can continue.|Yay, Blue is back. Testing can continue.
mp_death12|Are you testing me?|Are you testing me?
mp_death16|Did you know, the reassembly machine has other things it could be reassembling?|Did you know, the reassembly machine has other things it could be reassembling?
mp_death17|Did you think that would be funny?|Did you think that would be funny?
mp_death18|How can you fail at this? It isn't even a test.|How can you fail at this? It isn't even a test.
mp_death19|I hope that was some kind of joke.|I hope that was some kind of joke.
mp_death20|I honestly never thought we would need to track how many times died in the hub.|I honestly never thought we would need to track how many times died in the hub.
mp_death21|And here I thought this room was dangerously unlethal.|And here I thought this room was dangerously unlethal.
mp_death22|That worked just like you said it would, Blue.|That worked just like you said it would, Blue.
mp_death23|Orange, your plan is working perfectly.|Orange, your plan is working perfectly.
mp_death24|Blue, why did you do that to Orange?|Blue, why did you do that to Orange?
mp_death26|Was that necessary?|Was that necessary?
mp_hubreturn01|Look who's back, were you scared to continue those tests?|Look who's back, were you scared to continue those tests?
mp_hubreturn02|Look who's back, were you scared to continue those tests?|Look who's back, were you scared to continue those tests?
mp_hubreturn03|Hello again, did you know these are the only set of tests available to you... you are going to need to select them again.|Hello again, did you know these are the only set of tests available to you... you are going to need to select them again.
mp_hubreturn04|If at first you don't succeed, quit and try another course.|If at first you don't succeed, quit and try another course.
mp_hubreturn05|Back again?  Maybe you can just stay and live here in the hub?|Back again?  Maybe you can just stay and live here in the hub?
mp_hubreturn06|Back again?  Maybe you can just stay and live here.|Back again?  Maybe you can just stay and live here.
mp_hubreturn07|I guess quitting that course together is a sign of teamwork.|I guess quitting that course together is a sign of teamwork.
mp_hubreturn08|The way you two just gave up on that test together shows you are really working as a team.|The way you two just gave up on that test together shows you are really working as a team.
mp_hubreturn09|Are you scared to save those humans?|Are you scared to save those humans?
mp_hubreturn10|Are you scared to save those humans?|Are you scared to save those humans?
mp_hubreturn11|Blue, I wouldn't have trusted Orange in that course either.|Blue, I wouldn't have trusted Orange in that course either.
mp_hub_return02a|Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.|Welcome back to the Computer Intelligence Training and Enrichment Center Human Test Subject Research Center.
mp_hub_return03a|Welcome back, testing is available.|Welcome back, testing is available.
mp_hub_return04a|Welcome back quitters, maybe you can find another course for you to fail.|Welcome back quitters, maybe you can find another course for you to fail.
mp_hub_return05a|Welcome back to the hub, did you fail at selecting the correct course?|Welcome back to the hub, did you fail at selecting the correct course?
mp_hub_return06a|Was that course too difficult?|Was that course too difficult?
mp_humanresources01|Did you know we originally used these cameras to capture moments of intense pain and agony in test subjects?|Did you know we originally used these cameras to capture moments of intense pain and agony in test subjects?
mp_humanresources03|If the subject survived the test, we let them purchase the pictures for $5.  If the subject died, we gave the photo to their next of kin free of charge.|If the subject survived the test, we let them purchase the pictures for $5.  If the subject died, we gave the photo to their next of kin free of charge.
mp_humanresources04|The photos weren't as popular as we had hoped, so we repurposed the cameras.|The photos weren't as popular as we had hoped, so we repurposed the cameras.
mp_subterfuge01|Blue, it's not nice to make fun of Orange like that.|Blue, it's not nice to make fun of Orange like that.
mp_subterfuge02|Orange, it's not nice to make fun of Blue like that.|Orange, it's not nice to make fun of Blue like that.
mp_subterfuge03|Yes Orange, we are alone. Blue can't hear you.|Yes Orange, we are alone. Blue can't hear you.
mp_subterfuge04|That's horrible.|That's horrible.
mp_subterfuge05|I can only imagine.|I can only imagine.
mp_subterfuge06|What a horrible little machine.|What a horrible little machine.
mp_subterfuge07|Correct Blue, Orange can't hear you.|Correct Blue, Orange can't hear you.
mp_subterfuge08|Orange did what? Are you sure?|Orange did what? Are you sure?
mp_subterfuge09|Thank you, that was very brave of you to tell me.|Thank you, that was very brave of you to tell me.
mp_subterfuge10|Blue, how well do you really know Orange? Do you trust Orange? What if I told you, you aren't Orange's first cooperative partner?|Blue, how well do you really know Orange? Do you trust Orange? What if I told you, you aren't Orange's first cooperative partner?
mp_subterfuge11|Orange, how well do you really know Blue?  Do you trust Blue?|Orange, how well do you really know Blue?  Do you trust Blue?
mp_subterfuge13|Orange, to be clear.  I was just asking Blue if he trusted you.|Orange, to be clear.  I was just asking Blue if he trusted you.
mp_subterfuge14|I trust you.  You are my favorite cooperative testing subject.|I trust you.  You are my favorite cooperative testing subject.
mp_subterfuge15|Blue to be clear, I was asking if Orange trusted you.|Blue to be clear, I was asking if Orange trusted you.
mp_subterfuge16_alt|Sorry I missed the beginning of that test.  I was just talking with the reassembly machine about your becoming human.|Sorry I missed the beginning of that test.  I was just talking with the reassembly machine about your becoming human.
mp_subterfuge17|We all agree you should stop.|We all agree you should stop.
mp_subterfuge21|Orange, I agree. I never noticed that about Blue before.|Orange, I agree. I never noticed that about Blue before.
mp_subterfuge22|Blue, I agree. I never noticed that about Orange before.|Blue, I agree. I never noticed that about Orange before.
